"Check Number","Transaction Type","Transaction Date","Category","Description","Amount","Running Balance"
"1173","Check","06/04/2014","","","-22.81","16367.38"
"","Debit Card Fee","06/30/2014","","","-1.00","16366.38"
"1175","Check","07/01/2014","","","-150.64","16215.74"
"","POS Purchase","07/03/2014","","AFFORDABLE STORAGE     WILTON       NYUS","-48.00","16167.74"
"","Direct Deposit","07/08/2014","","PIONEER REGISTRA  #PRS","495.00","16662.74"
"1177","Check","07/18/2014","","","-149.89","16512.85"
"1178","Check","07/30/2014","","","-60.00","16452.85"
"","Debit Card Fee","07/31/2014","","","-1.00","16451.85"
"","POS Purchase","08/04/2014","","AFFORDABLE STORAGE     WILTON       NYUS","-48.00","16403.85"
"1180","Check","08/18/2014","","","-32.00","16371.85"
"","Electronic Debit","08/19/2014","","DELUXE CHECK  CHECK/ACC.","-14.40","16357.45"
"","POS Purchase","08/25/2014","","STEWARTS SHOP 444      SARATOGA SPRINYUS","-16.40","16341.05"
"","POS Purchase","08/25/2014","","DUNKIN #340504     Q35 SARATOGA SPRINYUS","-29.94","16311.11"
"","Debit Card Fee","08/29/2014","","","-1.00","16310.11"
"","Direct Deposit","09/03/2014","","PIONEER REGISTRA  #PRS","308.00","16618.11"
"","POS Purchase","09/03/2014","","AFFORDABLE STORAGE     WILTON       NYUS","-48.00","16570.11"
"","POS Purchase","09/03/2014","","LOWES #00560*          SARATOGA SPRINYUS","-347.68","16222.43"
"","POS Purchase","09/11/2014","","ROGUE HOE              417-962-5091 MOUS","-110.49","16111.94"
"","POS Purchase","09/15/2014","","HANNAFORD #8301        BENNINGTON   VTUS","-107.17","16004.77"
"","POS Purchase","09/15/2014","","GULF OIL 91765205      HOOSICK FALLSNYUS","-17.41","15987.36"
"","POS Purchase","09/16/2014","","GULF OIL 91765205      HOOSICK FALLSNYUS","-15.43","15971.93"
"1179","Check","09/23/2014","","","-165.44","15806.49"
"1176","Check","09/24/2014","","","-25.00","15781.49"
"","Debit Card Fee","09/30/2014","","","-1.00","15780.49"
"","POS Purchase","10/03/2014","","AFFORDABLE STORAGE     WILTON       NYUS","-48.00","15732.49"
"","Direct Deposit","10/07/2014","","PIONEER REGISTRA  #PRS","75.00","15807.49"
"","POS Purchase","10/22/2014","","IN *EMPIRE STATE FOREST518-4631297  NYUS","-300.00","15507.49"
"1242","Check","10/29/2014","","","-88.89","15418.60"
"1241","Check","10/29/2014","","","-152.21","15266.39"
"","POS Purchase","10/31/2014","","DOLLAR GENERAL #13920  HOOSICK FALLSNYUS","-32.62","15233.77"
"","POS Purchase","10/31/2014","","TRACTOR SUPPLY CO #1543TROY         NYUS","-72.71","15161.06"
"","Debit Card Fee","10/31/2014","","","-1.00","15160.06"
"","POS Purchase","11/04/2014","","AFFORDABLE STORAGE     WILTON       NYUS","-48.00","15112.06"
"","POS Purchase Non-PIN","11/14/2014","","POS Purchase Non-PIN THE MILL ROUND      LAKE NY 0000001048532 *****0357 11/12    20:44                                   ","-40.03","15072.03"
"1245","Check","11/18/2014","","Check                                   ","-111.95","14960.08"
"","Debit Card Fee","11/28/2014","","Debit Card Fee                          ","-1.00","14959.08"
"","POS Purchase Non-PIN","12/03/2014","","POS Purchase Non-PIN AFFORDABLE STORAGE  WILTON NY 0000007980723 *****0357 12/01  03:43                                   ","-48.00","14911.08"
"1248","Check","12/08/2014","","Check                                   ","-164.00","14747.08"
"1243","Check","12/09/2014","","Check                                   ","-55.02","14692.06"
"1247","Check","12/09/2014","","Check                                   ","-35.82","14656.24"
"1244","Check","12/15/2014","","Check                                   ","-52.94","14603.30"
"1246","Check","12/15/2014","","Check                                   ","-132.57","14470.73"
"","Deposit","12/22/2014","","Deposit                                 ","310.00","14780.73"
"","Debit Card Fee","12/31/2014","","Debit Card Fee                          ","-1.00","14779.73"
"","POS Purchase Non-PIN","01/05/2015","","POS Purchase Non-PIN AFFORDABLE STORAGE  WILTON NY 0000005477565 *****0357 01/01  03:54                                   ","-48.00","14731.73"
"","Debit Card Fee","01/30/2015","","Debit Card Fee                          ","-1.00","14730.73"
"","POS Purchase Non-PIN","02/03/2015","","POS Purchase Non-PIN AFFORDABLE STORAGE  WILTON NY *****0357 02/01 04:27         ","-48.00","14682.73"
"1249","Check","02/04/2015","","Check                                   ","-122.00","14560.73"
"","Debit Card Fee","02/27/2015","","Debit Card Fee                          ","-1.00","14559.73"
"1250","Check","03/02/2015","","Check                                   ","-320.00","14239.73"
"","ACH Credit","03/03/2015","","PIONEER REGISTRA/#PRS 27162-57806 2015   SMBA MEMBERSHIPS ADIRONDACK TRUST COM   ","455.00","14694.73"
"","POS Purchase Non-PIN","03/03/2015","","POS Purchase Non-PIN AFFORDABLE STORAGE  WILTON NY *****0357 03/01 04:53         ","-48.00","14646.73"
"","ACH Credit","03/09/2015","","Square Inc/150309N2 Saratoga Mountain    Bike                                    ","111.83","14758.56"
"","POS Purchase Non-PIN","03/09/2015","","POS Purchase Non-PIN CVS/PHARMACY        #03379 WILTON NY *****0357 03/06 16:23  ","-20.42","14738.14"
"1253","Check","03/10/2015","","Check                                   ","-930.00","13808.14"
"1252","Check","03/16/2015","","Check                                   ","-50.00","13758.14"
"1251","Check","03/23/2015","","Check                                   ","-289.90","13468.24"
"1254","Check","03/24/2015","","Check                                   ","-41.57","13426.67"
"1255","Check","03/24/2015","","Check                                   ","-49.62","13377.05"
"","Debit Card Fee","03/31/2015","","Debit Card Fee                          ","-1.00","13376.05"
"","POS Purchase Non-PIN","04/03/2015","","POS Purchase Non-PIN AFFORDABLE STORAGE  WILTON NY *****0357 04/01 05:07         ","-48.00","13328.05"
"","ACH Credit","04/07/2015","","PIONEER REGISTRA/#PRS 27162-58663 2015   SMBA MEMBERSHIPS ADIRONDACK TRUST COM   ","460.00","13788.05"
"1257","Check","04/20/2015","","Check                                   ","-36.76","13751.29"
"","Debit Card Fee","04/30/2015","","Debit Card Fee                          ","-1.00","13750.29"
"","ACH Credit","05/04/2015","","Square Inc/150504N2 Saratoga Mountain    Bike                                    ","29.17","13779.46"
"","POS Purchase Non-PIN","05/04/2015","","POS Purchase Non-PIN AFFORDABLE STORAGE  WILTON NY *****0357 05/01 05:27         ","-48.00","13731.46"
"","ACH Credit","05/05/2015","","PIONEER REGISTRA/#PRS 27162-59562 2015   SMBA MEMBERSHIPS ADIRONDACK TRUST COM   ","1535.00","15266.46"
"1261","Check","05/05/2015","","Check                                   ","-18.32","15248.14"
"1259","Check","05/05/2015","","Check                                   ","-31.46","15216.68"
"1260","Check","05/05/2015","","Check                                   ","-35.27","15181.41"
"1258","Check","05/05/2015","","Check                                   ","-79.18","15102.23"
"1256","Check","05/15/2015","","Check                                   ","-25.00","15077.23"
"1263","Check","05/20/2015","","Check                                   ","-101.00","14976.23"
"1262","Check","05/21/2015","","Check                                   ","-154.00","14822.23"
"","Debit Card Fee","05/29/2015","","Debit Card Fee                          ","-1.00","14821.23"
"","ACH Credit","06/02/2015","","PIONEER REGISTRA/#PRS 27162-60424 2015   SMBA MEMBERSHIPS ADIRONDACK TRUST COM   ","450.00","15271.23"
"1265","Check","06/09/2015","","Check                                   ","-128.40","15142.83"
"1266","Check","06/09/2015","","Check                                   ","-182.68","14960.15"
"1264","Check","06/16/2015","","Check                                   ","-222.93","14737.22"
"","Debit Card Fee","06/30/2015","","Debit Card Fee                          ","-1.00","14736.22"
"","ACH Credit","07/07/2015","","PIONEER REGISTRA/#PRS 27162-61391 2015   SMBA MEMBERSHIPS ADIRONDACK TRUST COM   ","605.00","15341.22"
"1267","Check","07/14/2015","","Check                                   ","-247.15","15094.07"
"","ACH Debit","07/16/2015","","PACHNER & ASSOCI/PREAUTHPMT SARATOGA     MOUNTAIN BIKE                           ","-1416.00","13678.07"
"1268","Check","07/17/2015","","Check                                   ","-188.69","13489.38"
"","Debit Card Fee","07/31/2015","","Debit Card Fee                          ","-1.00","13488.38"
"","ACH Credit","08/04/2015","","PIONEER REGISTRA/#PRS 27162-62200 2015   SMBA MEMBERSHIPS ADIRONDACK TRUST COM   ","500.00","13988.38"
"1270","Check","08/04/2015","","Check                                   ","-158.90","13829.48"
"1271","Check","08/18/2015","","Check                                   ","-69.84","13759.64"
"1272","Check","08/19/2015","","Check                                   ","-126.71","13632.93"
"1273","Check","08/31/2015","","Check                                   ","-63.19","13569.74"
"","Debit Card Fee","08/31/2015","","Debit Card Fee                          ","-1.00","13568.74"
"","ACH Credit","09/09/2015","","PIONEER REGISTRA/#PRS 27162-63278 2015   SMBA MEMBERSHIPS ADIRONDACK TRUST COM   ","190.00","13758.74"
"","Debit Card Fee","09/30/2015","","Debit Card Fee                          ","-1.00","13757.74"
"","ACH Credit","10/06/2015","","PIONEER REGISTRA/#PRS 27162-64117 2015   SMBA MEMBERSHIPS ADIRONDACK TRUST COM   ","35.00","13792.74"
"1274","Check","10/07/2015","","Check                                   ","-124.19","13668.55"
"","Deposit","10/09/2015","","Deposit                                 ","2575.00","16243.55"
"1275","Check","10/14/2015","","Check                                   ","-20.33","16223.22"
"","Debit Card Fee","10/30/2015","","Debit Card Fee                          ","-1.00","16222.22"
"","POS Purchase Non-PIN","11/16/2015","","POS Purchase Non-PIN THE MILL ROUND      LAKE NY *****0357 11/14 17:16           ","-184.15","16038.07"
"","POS Purchase Non-PIN","11/20/2015","","POS Purchase Non-PIN ROGUE HOE           DISTRIBUTING 417-962-5091 MO *****0357   11/19 07:29                             ","-145.40","15892.67"
"","Debit Card Fee","11/30/2015","","Debit Card Fee                          ","-1.00","15891.67"
"1277","Check","12/01/2015","","Check                                   ","-85.00","15806.67"
"1276","Check","12/02/2015","","Check                                   ","-183.86","15622.81"
"","Debit Card Fee","12/31/2015","","Debit Card Fee                          ","-1.00","15621.81"
"","POS Purchase Non-PIN","01/07/2016","","POS Purchase Non-PIN DNH*GODADDY.COM     480-5058855 AZ *****0357 01/05 20:34    ","-10.89","15610.92"
"1279","Check","01/29/2016","","Check                                   ","-360.00","15250.92"
"","Debit Card Fee","01/29/2016","","Debit Card Fee                          ","-1.00","15249.92"
"","Debit Card Fee","02/29/2016","","Debit Card Fee                          ","-1.00","15248.92"
"1281","Check","03/04/2016","","Check                                   ","-992.00","14256.92"
"","ACH Credit","03/07/2016","","Square Inc/160307P2 Saratoga Mountain    Bike                                    ","88.49","14345.41"
"1280","Check","03/16/2016","","Check                                   ","-75.00","14270.41"
"","Deposit","03/23/2016","","Deposit                                 ","75.00","14345.41"
"","Debit Card Fee","03/31/2016","","Debit Card Fee                          ","-1.00","14344.41"
"","ACH Credit","04/05/2016","","PIONEER REGISTRA/BIKEREG 30728-67591     2016 SMBA MEMBERSHIPS ADIRONDACK TRUST   COM                                     ","1340.00","15684.41"
"","ATM Withdrawal","04/11/2016","","ATM Withdrawal ADIRONDACK TR ROUTE 9 &   50M SARATOGA SPGS NY 00000IC177350      ","-120.00","15564.41"
"","POS Purchase With PIN","04/11/2016","","POS Purchase With PIN PRICE CHOPPER #3   TROY NY *****0357 04/10 13:16           ","-24.49","15539.92"
"","POS Purchase Non-PIN","04/15/2016","","POS Purchase Non-PIN HOMEDEPOT.COM       800-430-3376 GA *****0357 04/13 19:23   ","-37.77","15502.15"
"1283","Check","04/22/2016","","Check                                   ","-203.71","15298.44"
"","Deposit","04/25/2016","","Deposit                                 ","80.00","15378.44"
"1285","Check","04/28/2016","","Check                                   ","-189.25","15189.19"
"1284","Check","04/29/2016","","Check                                   ","-127.12","15062.07"
"","ACH Credit","05/03/2016","","PIONEER REGISTRA/BIKEREG 30728-68526     2016 SMBA MEMBERSHIPS ADIRONDACK TRUST   COM                                     ","1315.00","16377.07"
"","Deposit","05/17/2016","","Deposit                                 ","75.00","16452.07"
"1286","Check","05/24/2016","","Check                                   ","-139.50","16312.57"
"","POS Purchase Non-PIN","05/25/2016","","POS Purchase Non-PIN SQ *SQUARE          HARDWARE gosq.com CA *****0357 05/24     19:59                                   ","-31.32","16281.25"
"1288","Check","05/31/2016","","Check                                   ","-1450.00","14831.25"
"","ACH Debit","06/03/2016","","PACHNER & ASSOCI/PREAUTHPMT SARATOGA     MOUNTAIN BIKE                           ","-1499.00","13332.25"
"","POS Purchase Non-PIN","06/07/2016","","POS Purchase Non-PIN AMAZON.COM SEATTLE  WA *****0357 06/06 18:20                ","-118.79","13213.46"
"","ACH Credit","06/08/2016","","PIONEER REGISTRA/BIKEREG 30728-69705     2016 SMBA MEMBERSHIPS ADIRONDACK TRUST   COM                                     ","605.00","13818.46"
"","ACH Credit","06/13/2016","","Square Inc/160613P2 Saratoga Mountain    Bike                                    ","43.76","13862.22"
"1289","Check","06/17/2016","","Check                                   ","-70.44","13791.78"
"","Deposit","06/30/2016","","Deposit                                 ","771.00","14562.78"
"","ACH Credit","07/06/2016","","PIONEER REGISTRA/BIKEREG 30728-70544     2016 SMBA MEMBERSHIPS ADIRONDACK TRUST   COM                                     ","300.00","14862.78"
"1290","Check","08/02/2016","","Check                                   ","-19.10","14843.68"
"","Deposit","08/03/2016","","Deposit                                 ","342.80","15186.48"
"1291","Check","08/23/2016","","Check                                   ","-363.46","14823.02"
"","ACH Credit","09/07/2016","","PIONEER REGISTRA/BIKEREG 30728-72461     2016 SMBA MEMBERSHIPS ADIRONDACK TRUST   COM                                     ","195.00","15018.02"
"","Deposit","10/18/2016","","Deposit                                 ","75.00","15093.02"
"1292","Check","10/25/2016","","Check                                   ","-26.78","15066.24"
"1293","Check","11/02/2016","","Check                                   ","-26.78","15039.46"
"","ATM Withdrawal","11/07/2016","","ATM Withdrawal ADIRONDACK TR 322 RUHLE   RD BALLSTON LAKE NY 00000IC179650       ","-100.00","14939.46"
"","POS Purchase Non-PIN","11/07/2016","","POS Purchase Non-PIN DICK'S              CLOTHING&SPORTIN ALBANY NY *****0357     11/04 18:27                             ","-16.19","14923.27"
"","POS Purchase Non-PIN","11/07/2016","","POS Purchase Non-PIN OLIVERS BEVERAGE    ALBANY NY *****0357 11/04 18:42         ","-17.87","14905.40"
"","POS Purchase With PIN","11/07/2016","","POS Purchase With PIN PRICE CHOPPER #3   TROY NY *****0357 11/05 08:35           ","-41.52","14863.88"
"","ACH Credit","11/08/2016","","PIONEER REGISTRA/BIKEREG 30728-74299     2016 SMBA MEMBERSHIPS ADIRONDACK TRUST   COM                                     ","110.00","14973.88"
